year,ctrycode,lending,cap_raising,altfin
2018,GM,,.00760434375,.0076043438
2019,GM,,.0021323244533,.0021323245
2020,GM,,.006374591251,.0063745915
2015,GN,,.0033717967521909,.0033717966
2016,GN,,.0051887372362233,.0051887375
2017,GN,,.039209,.039209001
2018,GN,,.00014,.00014
2019,GN,,.00517,.0051699998
2020,GN,,.03248375102324,.032483753
2014,GR,,.005978385,.005978385
2015,GR,,1.362808568967999,1.3628086
2016,GR,,2.560661777872778,2.5606618
2017,GR,,1.853599737459689,1.8535998
2018,GR,,.58125409228985,.58125407
2019,GR,.569310513255,.9483364695489401,1.517647
2020,GR,8.817426861,3.631371588669893,12.448799
2013,GT,,.063223,.063222997
2014,GT,,.027863,.027863
2015,GT,,.043739,.043738998
2016,GT,3.497725,.003524,3.5012491
2017,GT,4.299075,.48106,5.0401969
2018,GT,11.201526,.17204599065,28.335972
2019,GT,7.92508364417142,.2730398064543,8.1981239
2020,GT,6.230233539483205,.41587275560918,6.6461067
2013,HK,,.664842329999999,.66484231
2014,HK,.25,3.12353998,3.3735399
2015,HK,5.5,3.763119788,9.2631197
2016,HK,,4.144053358045791,4.1440535
2017,HK,.55,7.64451,8.1945105
2018,HK,4,47.395464767641,51.395466
2019,HK,289.228051760202,17.94942706527968,307.17749
2020,HK,473.02774,38.6183258316452,511.64609
2015,HN,,.007144,.0071439999
2016,HN,,.005235593055,.0052355933
2017,HN,1.3381,.09771,1.43581
2018,HN,9.099262,.014263046328,9.1135254
2019,HN,1.99794358318518,.01172731345215,2.009671
2020,HN,1.6622722044,.03412698895625,1.6963992
2015,HR,,.2055577657969999,.20555776
2016,HR,,.3248548274912242,.32485482
2017,HR,,.5215001919936826,.52150017
2018,HR,,.5972825730129999,.59728259
2019,HR,1.832,.56671448389434,2.3987145
2020,HR,.821279,1.2627173487808,2.0839963
2013,HT,,.017382,.017382
2014,HT,,.115984,.115984
2015,HT,,.074739,.074739002
2016,HT,,.1954646078386569,.19546461
2017,HT,1.171375,.708105,1.87948
2018,HT,1.05835,.04430038,1.1026504
2019,HT,.895997125997,,.89599711
2020,HT,.6780558026000001,.01949386,.6975497
2013,HU,,.002656254,.002656254
2014,HU,,.051148405,.051148407
2015,HU,,.314976478567,.31497648
2016,HU,,.5177204795492703,.51772046
2017,HU,,.1226591683466945,.12265917
2018,HU,,.5582008013480001,.55820084
2019,HU,.009180621846,.44869469740874,.45787531
2020,HU,,.7962146066373701,.79621464
2013,ID,.5,1.321321,1.821321
2014,ID,1,1.62735652,2.6273565
2015,ID,.11,2.1538688,2.2638688
2016,ID,28.726839,6.624076350068785,35.350918
2017,ID,58.486975,18.627847,77.114822
2018,ID,1447.46312071458,3.765841525459,1451.229
2019,ID,1430.382061321665,16.29188561481345,1446.674
2020,ID,1416.659942666309,21.23392782132925,1437.8939
2014,IE,.01062824,,.01062824
2015,IE,2.220121999999989,1.529406523847999,3.7495284
2016,IE,82.99845000000001,1.982620664041351,84.981071
2017,IE,119.53447423791,1.132043825344877,120.66651
2018,IE,18.8984,.988976570756,19.887377
2019,IE,17.78790602060109,14.67422181744139,32.462128
2020,IE,20.405683918216,134.3495599126011,154.75525
2013,IL,.3237,26.96102763093404,27.284727
2014,IL,7.397375,72.03751577099362,79.434891
2015,IL,20.200225,116.1066295778869,136.30685
2016,IL,33.1753,105.0480674290684,138.22336
2017,IL,171.052048,124.402996291692,295.45505
2018,IL,687.428865,38.398361526504,725.82721
2019,IL,649.0677273196878,10.99659927280558,660.06433
2020,IL,631.1066557566201,16.17361228274138,647.28027
2013,IN,3.83908,1.25179981,5.0908799
2014,IN,5.112221,6.96329008,12.075511
2015,IN,19.773092,20.13555308,39.908646
2016,IN,90.44,33.7236733159343,124.16367
2017,IN,227.30602,39.09481,268.5798
2018,IN,499.2905380451559,48.122993518543,547.41351
2019,IN,3304.779767553526,44.78575862152302,3349.5654
2020,IN,2248.433728840777,115.221771182669,2363.6555
2013,IQ,1.6744,.00308,1.67748
2014,IQ,2.6953,.0336016565546514,2.7289019
2015,IQ,.04455,.0093543540636174,.053904355
2016,IQ,,.0076569726545996,.0076569729
2017,IQ,,.1079048278,.10790483
2018,IQ,,.04314005825,.043140057
2019,IQ,,.03168531111197,.031685311
2020,IQ,,.20387434768377,.20387435
2013,IR,,.046963927803721,.04696393
2014,IR,,.0612702309951081,.06127023
2015,IR,,.195235,.195235
2016,IR,,.1254408265251584,.12544082
2017,IR,,.252292263,.25229228
2018,IR,,.44257032955,.44257036
2013,IS,,.138102629841,.13810262
2014,IS,,.3668868448,.36688685
2015,IS,,.9417890731319988,.94178909
2016,IS,,1.112205962920673,1.112206
2017,IS,,.6541121351371311,.6541121
2018,IS,,.564412645321,.56441265
2019,IS,,.7286970433216,.72869706
2020,IS,,.1589218300775,.15892182
2013,IT,,1.5937524,1.5937524
2014,IT,3.321325,4.693032225,8.0143566
2015,IT,16.61222160372298,18.48203166340397,35.094254
2016,IT,116.150755492452,24.4582228580906,140.60898
2017,IT,252.12182982765,19.79019708469593,271.91992
2018,IT,495.3917059771999,37.19170213696299,532.58344
2019,IT,1499.747300585569,85.40968198604017,1585.157
2020,IT,1880.199255835339,110.0014323184804,1990.2007
2013,JM,,.01003,.01003
2014,JM,,.031603,.031603001
2015,JM,,.049328,.049327999
2017,JM,,.012481,.012481
2018,JM,,.0014138,.0014138001
2019,JM,,.09481717911784,.094817176
2020,JM,,.00787849,.0078784898
2013,JO,1.2555,.0974578140243739,1.3529578
2014,JO,1.3613,.0631135136908259,1.4244134
2015,JO,3.9329,.2331381930959197,4.166038
2016,JO,3.253656,.0021205548367854,3.2557764
