year,ctrycode,resid_roe,resid_int
2021,IE,-13.225742,2.0169334
2013,IL,-10.73457,-2.4823515
2014,IL,-11.241786,.76739109
2015,IL,-10.920266,.44636083
2016,IL,-11.091803,-2.8565667
2017,IL,-10.788651,-3.4710681
2018,IL,-11.525431,-2.5382142
2019,IL,-10.722673,-1.9752883
2020,IL,-13.090964,-1.1955529
2021,IL,-9.0352659,-4.5260296
2013,IN,-9.0808325,-45.045296
2014,IN,-8.3189802,-44.09042
2015,IN,-7.2812567,-44.990551
2016,IN,-8.3065662,-50.941776
2017,IN,-10.205021,-50.949234
2018,IN,-9.0739059,-52.302036
2019,IN,-10.320576,-46.340477
2020,IN,-10.282586,-36.918957
2021,IN,-11.507222,
2013,IQ,-9.8150015,-42.946167
2014,IQ,-12.06743,-40.909363
2015,IQ,-14.282707,-39.594303
2016,IQ,-16.730019,-39.476303
2017,IQ,-15.567487,-13.707488
2018,IQ,-16.960806,-30.588181
2019,IQ,-18.517813,-23.007441
2020,IQ,-14.108636,-17.852165
2021,IQ,-9.3950624,-.14162548
2013,IR,,
2014,IR,,
2015,IR,,
2016,IR,,
2017,IR,,
2018,IR,,
2021,IR,,
2013,IS,,
2014,IS,,
2015,IS,-7.0485554,17.022066
2016,IS,,
2017,IS,,
2018,IS,,
2019,IS,,
2020,IS,,
2021,IS,,
2013,IT,-6.8346295,-9.2340527
2014,IT,-8.0798235,-14.123397
2015,IT,-8.3184919,-13.767989
2016,IT,-8.2784729,-16.746088
2017,IT,-10.59134,-17.99674
2018,IT,-9.6351309,-8.5201817
2019,IT,-8.6112614,-17.177279
2020,IT,-8.1747046,-16.321104
2021,IT,-10.606651,-13.97107
2013,JM,2.2229371,-28.226835
2014,JM,,
2015,JM,-2.3529258,-25.46694
2017,JM,-2.500519,-23.531389
2018,JM,-.84618372,-13.340374
2019,JM,-3.3362143,-12.62323
2020,JM,-1.2331445,-9.556077
2021,JM,-.21947885,-6.7307601
2013,JO,.12830807,-18.418947
2014,JO,.63717651,-15.362518
2015,JO,.21858265,-7.5783038
2016,JO,-1.1422791,-12.323695
2017,JO,.0037101968,-5.8403029
2018,JO,.13499483,-7.4738994
2019,JO,-.86881167,-4.7265744
2020,JO,-2.7484224,1.0668705
2021,JO,-2.1660221,4.9736013
2013,JP,-10.389835,15.832315
2014,JP,-10.502687,14.57449
2015,JP,-11.255589,14.683503
2016,JP,-11.729362,9.159647
2017,JP,-12.191698,5.9747643
2018,JP,-12.796604,1.0040908
2019,JP,-12.782557,2.7331288
2020,JP,-11.946885,-2.6456938
2021,JP,-11.68952,-13.060353
2013,KE,-.18226294,-44.945805
2014,KE,-3.1932924,-41.564743
2015,KE,-5.1909108,-44.188534
2016,KE,-5.9073715,-50.116714
2017,KE,-8.3269482,-50.718609
2018,KE,-8.4969978,-50.717434
2019,KE,-8.920085,-49.650787
2020,KE,-8.589963,
2021,KE,-6.9490762,
2017,KG,-2.6726699,-15.789221
2018,KG,-1.4141797,-6.3416862
2019,KG,-3.1425896,-7.2019863
2020,KG,1.4908032,-2.6489761
2021,KG,.69228083,1.3370285
2016,KH,-3.7773862,-30.682629
2017,KH,-4.9614024,-32.385857
2018,KH,-4.8020349,
2019,KH,-4.3659921,-18.165693
2020,KH,-3.89066,-21.2619
2021,KH,-4.3288999,-19.784977
2013,KR,-18.22241,10.943649
2014,KR,-15.915411,11.779276
2015,KR,-12.578474,11.227303
2016,KR,-13.230157,7.0928926
2017,KR,-12.235332,7.2211804
2018,KR,-9.4057922,6.1015711
2019,KR,-9.354229,3.3987858
2020,KR,-7.686235,1.4528623
2021,KR,-6.2158232,-1.3374025
2013,KW,,
2015,KW,-20.063229,12.947616
2017,KW,-15.286756,19.40888
2018,KW,-12.646254,19.302711
2019,KW,,
2020,KW,,
2021,KW,,
2016,KZ,-8.9573917,2.7508988
2017,KZ,-3.5490477,2.2791405
2018,KZ,-5.6610589,-.72501367
2019,KZ,-6.6305566,-.97915983
2020,KZ,-8.0264883,1.2095233
2021,KZ,-9.1691246,1.1753317
2017,LA,,
2018,LA,,
2019,LA,,
2020,LA,,
2021,LA,,
2013,LB,-10.055785,7.3888497
2014,LB,-10.663002,9.3793392
2015,LB,-10.446668,10.720201
2016,LB,-9.9323673,7.1118512
2017,LB,-9.433382,7.2490673
2018,LB,,
2019,LB,,
2020,LB,,
2021,LB,,
2017,LC,,
2018,LC,,
2020,LC,,
2021,LC,,
2017,LI,,
2019,LI,,
2021,LI,,
2015,LK,3.1605422,-47.367424
2016,LK,2.4916167,-47.049244
2017,LK,.46872988,-44.263199
